Column Name,Data Type,Non-null Count,Missing Count (%),Unique Values,Most Frequent Value,Notes / Cleaning Needed
order_id,Text,112508,0%,88746,"	—",Should match with orders table
order_item_id,Whole Number ,112508,0%,1,1,"	—"
product_id,Text,112508,0%,18108,—,Should join products table
seller_id,Text,112508,0%,510,—,Should join sellers table
shipping_limit_date,Date/Time,112508,0%,79728,—,Validate if > order_approved_at
price,Decimal,112508,0%,2339,59.9,Should be ≥ 0
freight_value,Decimal,112508,0%,2075,15.1,Should be ≥ 0
orders.order_approved_at,Date/Time,112508,0%,74868,—,for confrim shipping_limit_date
Valid Order,Text,112508,0%,—,—,check for valid
,,,,,,
